  SP74632","Las desagregaciones del INPC solo tienen valor informativo.
  SP74633","Las desagregaciones del INPC solo tienen valor informativo.
  SP66536","Las desagregaciones del INPC solo tienen valor informativo.
  SP74634","Las desagregaciones del INPC solo tienen valor informativo.
  SP74635","Las desagregaciones del INPC solo tienen valor informativo.
  SP66538","Las desagregaciones del INPC solo tienen valor informativo.
  SP56384","Las desagregaciones del INPC solo tienen valor informativo.
  SP74636","Las desagregaciones del INPC solo tienen valor informativo.
  SP74637","Las desagregaciones del INPC solo tienen valor informativo.
  SP56378","Las desagregaciones del INPC solo tienen valor informativo.
  SP56379","Las desagregaciones del INPC solo tienen valor informativo.
  SP56380","Las desagregaciones del INPC solo tienen valor informativo.
  SP74638","Las desagregaciones del INPC solo tienen valor informativo.
  SP56382","Las desagregaciones del INPC solo tienen valor informativo.
  SP74639"
"2Q Ago 2002","52.139125545165","56.499747092490","53.433403912337","42.945270503185","63.125456775088","59.248564524529","64.112964033645","42.787178412926","60.637264803949","40.145760759100","40.569624588439","43.584790130975","38.624376038126","39.863479386304","35.962479768891","47.837629037533"
"1Q Sep 2002","52.396598870907","56.797219837916","53.456865230665","42.955099736534","63.161856671777","59.812286604402","64.214502252151","45.702845878768","60.675320605328","40.296355026096","40.349611275726","43.143878730798","38.540889993016","40.244144828316","36.474261883820","47.961905388624"
"2Q Sep 2002","52.446850204100","56.867213075112","53.503792598867","43.069201361008","63.143821238787","59.904497298632","64.354398179509","45.705646605643","60.758857932612","40.293141344029","40.257817438923","42.895987905663","38.545434248519","40.295939844548","36.525326832943","48.015492449316"
"1Q Oct 2002","52.624543062710","56.932380165812","53.610117554749","43.211851150147","63.214416634306","59.929195886634","64.475717521531","45.705646605643","60.705847626633","40.766050646417","40.282674064111","42.769244889855","38.663605378304","41.046859689388","37.644301442251","48.044560871520"
"2Q Oct 2002","52.682047165642","56.997114974757","53.672271059424","43.318583969832","63.233228348877","59.996170204773","64.581629166667","45.705646605643","60.763447746453","40.805221349652","40.389706664639","43.055288997563","38.660153938704","41.043870390102","37.637900384705","48.048289767304"
"1Q Nov 2002","53.003241254093","57.042813155449","53.691500590861","43.386580860526","63.205406093133","60.067513651573","64.702594178612","45.705646605643","60.817454314548","41.852979707630","40.842310912044","44.384888384375","38.571641988193","42.460714436929","39.736030167788","48.129136290512"
"2Q Nov 2002","53.153995253672","57.106300600007","53.744646841677","43.411221589537","63.285577376476","60.140822632783","64.804739750511","45.705646605643","60.892943938422","42.233392425295","41.861214978360","47.106761685185","38.539489671191","42.444451270359","39.707655517447","48.136684003593"
"1Q Dic 2002","53.274184009351","57.158327707154","53.784905964951","43.488528983764","63.289901229584","60.204114085488","64.892659272015","45.705646605643","60.958360014620","42.532578843073","42.722902306987","49.058837781140","38.727744213309","42.394189502717","39.593246395088","48.212776873942"
"2Q Dic 2002","53.345675596779","57.228339732601","53.767096774793","43.496909493705","63.247032409179","60.359569439574","64.974403160414","45.705646605643","61.240169268445","42.606993259569","42.898792077342","49.215410434805","38.915148616787","42.405553638410","39.579548997854","48.273715675436"
"1Q Ene 2003","53.514561520707","57.370785787683","53.867503195458","43.718561396388","63.230068366771","60.542444282518","65.165416744886","45.706692096862","61.485652627581","42.844191627591","42.589300312031","47.941685033781","39.200191013196","42.982127137252","40.299116498401","48.571766039148"
